"Таблица","№","Поле","Тип","Описание"
application_obj,12,created_emp_id,bigint,"Сотрудник, создавший объект"
application_obj,13,last_modified_emp_id,bigint,"Сотрудник, внесший последние изменения"
application_obj,14,is_system,smallint,System object
application_obj,15,afl_doc_num,character varying,Номер документа
application_obj,16,afl_doc_data,timestamp without time zone,Дата документа
application_obj,17,afp_state_id,bigint,Состояние
application_obj,18,initiator_id,bigint,Клиент
application_obj,19,emp_id,bigint,Ответственный менеджер
application_obj,20,processing_steps_id,bigint,Текущий этап обработки
application_obj,21,temp_cont_turn,bigint,Промежуточный контейнер загрузки ОСВ
application_obj,22,cr_id,bigint,Ссылка на КЗ
application_obj,23,scp_tech_ctredit,bigint,Технология кредитования
application_obj,24,scp_business_segment,bigint,Клиентский сегмент
application_obj,25,client_type_id,bigint,Тип клиента
application_obj,26,gsl_data_cont_id,bigint,Ссылка на контейнер данных ГСЛ
application_obj,27,industry_code_id,bigint,Отрасль клиента
application_obj,28,scp_product_str,character varying,Продукт (строка)
application_obj,29,is_state_program,smallint,Применение госпрограммы
application_obj,30,cred_technology_str,character varying,Технология кредитования (строка)
application_obj,31,is_fin_activ_newsub,smallint,Финансирование деятельности в НС
application_obj,32,prelim_gsl_calc_id,bigint,Ссылка на предварительный расчет
business_segment,1,id,bigint,"Код, SysTypeAttrEffective{id=101002, ident='ID'}"
business_segment,2,name__en,character varying,"Наименование, SysTypeAttrEffective{id=101003, ident='NAME'}, languageSchema=en"
business_segment,3,name__ru,character varying,"Наименование, SysTypeAttrEffective{id=101003, ident='NAME'}, languageSchema=ru"
business_segment,4,name,character varying,"Наименование, SysTypeAttrEffective{id=101003, ident='NAME'}"
business_segment,5,create_date,timestamp without time zone,"Дата создания, SysTypeAttrEffective{id=101004, ident='CREATE_DATE'}"
business_segment,6,type_id,bigint,"Тип объекта, SysTypeAttrEffective{id=101005, ident='TYPE_ID'}"
business_segment,7,status,smallint,"Статус, SysTypeAttrEffective{id=101006, ident='STATUS'}"
business_segment,8,org_id,bigint,"Подразделение, SysTypeAttrEffective{id=101007, ident='ORG_ID'}"
business_segment,9,user_id,bigint,"Пользователь, SysTypeAttrEffective{id=101008, ident='USER_ID'}"
business_segment,10,last_modified_date,timestamp without time zone,"Дата последнего изменения, SysTypeAttrEffective{id=101009, ident='LAST_MODIFIED_DATE'}"
business_segment,11,last_modified_user_id,bigint,"Пользователь, кто последним изменил, SysTypeAttrEffective{id=101010, ident='LAST_MODIFIED_USER_ID'}"
business_segment,12,created_emp_id,bigint,"Сотрудник, создавший объект, SysTypeAttrEffective{id=101011, ident='CREATED_EMP_ID'}"
business_segment,13,last_modified_emp_id,bigint,"Сотрудник, кто последним изменил, SysTypeAttrEffective{id=101012, ident='LAST_MODIFIED_EMP_ID'}"
business_segment,14,is_system,smallint,"Системный объект, SysTypeAttrEffective{id=105077, ident='SYS_OBJ_TYPE_IS_SYSTEM'}"
business_segment,15,ident,character varying,Идентификатор
business_segment,16,type_int_code,bigint,Код типа технологии
cb_interest_rate,1,id,bigint,ID
cb_interest_rate,2,name__ru,character varying,"Name, languageSchema=ru"
cb_interest_rate,3,name__en,character varying,"Name, languageSchema=en"
cb_interest_rate,4,name,character varying,Name
cb_interest_rate,5,create_date,timestamp without time zone,Create date
cb_interest_rate,6,type_id,bigint,Тип объекта
cb_interest_rate,7,status,smallint,Status
cb_interest_rate,8,org_id,bigint,Подразделение
cb_interest_rate,9,user_id,bigint,Пользователь
cb_interest_rate,10,last_modified_date,timestamp without time zone,Last modified date
cb_interest_rate,11,last_modified_user_id,bigint,"Пользователь, внесший последние изменения"
cb_interest_rate,12,created_emp_id,bigint,"Сотрудник, создавший объект"
cb_interest_rate,13,last_modified_emp_id,bigint,"Сотрудник, внесший последние изменения"
cb_interest_rate,14,is_system,smallint,System object
cb_interest_rate,15,date_start_cb,timestamp without time zone,Дата начала действия
cb_interest_rate,16,date_end_cb,timestamp without time zone,Дата окончания действия
cb_interest_rate,17,grade_number_cb,numeric,Значение
corp_tech_application,1,id,bigint,ID
corp_tech_application,2,name__ru,character varying,"Name, languageSchema=ru"
corp_tech_application,3,name__en,character varying,"Name, languageSchema=en"
corp_tech_application,4,name,character varying,Name
corp_tech_application,5,create_date,timestamp without time zone,Create date
corp_tech_application,6,type_id,bigint,Тип объекта
corp_tech_application,7,status,smallint,Status
corp_tech_application,8,org_id,bigint,Подразделение
corp_tech_application,9,user_id,bigint,Пользователь
corp_tech_application,10,last_modified_date,timestamp without time zone,Last modified date
corp_tech_application,11,last_modified_user_id,bigint,"Пользователь, внесший последние изменения"
corp_tech_application,12,created_emp_id,bigint,"Сотрудник, создавший объект"
corp_tech_application,13,last_modified_emp_id,bigint,"Сотрудник, внесший последние изменения"
corp_tech_application,14,is_system,smallint,System object
corp_tech_application,15,afl_doc_num,character varying,Номер документа
corp_tech_application,16,afl_doc_data,timestamp without time zone,Дата документа
corp_tech_application,17,afp_state_id,bigint,Состояние
corp_tech_application,18,initiator_id,bigint,Клиент
corp_tech_application,19,emp_id,bigint,Ответственный менеджер
corp_tech_application,20,processing_steps_id,bigint,Текущий этап обработки
corp_tech_application,21,temp_cont_turn,bigint,Промежуточный контейнер загрузки ОСВ
corp_tech_application,22,cr_id,bigint,Ссылка на КЗ
corp_tech_application,23,scp_tech_ctredit,bigint,Технология кредитования
corp_tech_application,24,scp_business_segment,bigint,Клиентский сегмент
corp_tech_application,25,client_type_id,bigint,Тип клиента
corp_tech_application,26,is_without_pledge,smallint,Без залога
corp_tech_application,27,lim_currency_id,bigint,Валюта
corp_tech_application,28,req_type_id,bigint,Класс заявки
corp_tech_application,29,credit_logic_id,bigint,Логика кредитования
corp_tech_application,30,gsl_limit,numeric,Сумма общего лимита
corp_tech_application,31,is_main_owner,smallint,Основные собственники
corp_tech_application,32,risk_zone_id,bigint,Результат проверки благонадежности и деловой репутации по заявке
corp_tech_application,33,scp_arm_manager_id,bigint,Сотрудник АРМ
corp_tech_application,34,loan_terms,bigint,Срок лимита
corp_tech_application,35,auto_check_status,bigint,Статус автопроверок
corp_tech_application,36,lim_sum,numeric,Сумма заявки
corp_tech_application,37,third_parties,text,Третьи лица
corp_tech_application,38,scp_proc_steds_id,bigint,Этап обработки
corp_tech_application,39,is_active_get_gsl_part,smallint,Запущена сборка ГСЛ (тех)
corp_tech_application,40,is_na_active,smallint,Интеграция с НА по получению кредитных обязательств активна
corp_tech_application,41,deleg_region_id,bigint,Регион клиента
corp_tech_application,42,client_list_changed,smallint,Состав клиентов был изменен
corp_tech_application,43,gsl_data_cont_id,bigint,Ссылка на контейнер данных ГСЛ
corp_tech_application,44,scp_gsl_name_str,character varying,Наименование ГСЛ
corp_tech_application,45,ca_rout_office_id,bigint,Офис маршрутизации для КА
corp_tech_application,46,is_form_bch_active,smallint,Запущен сбор БКИ (тех.)
corp_tech_application,47,is_active_exp_sec,smallint,Заблокировано изменение участников (тех.)
corp_tech_application,48,scp_hcm_decision_id,bigint,Вариант решения на задаче руководителя КМ
corp_tech_application,49,scp_appl_type_id,bigint,Тип заявки
corp_tech_application,50,comment_txt,text,Комментарий проверки СЭБ
corp_tech_application,51,sec_conclusion_id,bigint,Вывод
corp_tech_application,52,is_bch_validator_on,smallint,Запущен валидатор БКИ (тех)
corp_tech_application,53,industry_code_id,bigint,Отрасль клиента
corp_tech_application,54,scp_product_str,character varying,Продукт (строка)
corp_tech_application,55,is_state_program,smallint,Применение госпрограммы
corp_tech_application,56,cred_technology_str,character varying,Технология кредитования (строка)
corp_tech_application,57,is_auto_check_errors,smallint,Наличие ошибок (предпроверки)
corp_tech_application,58,scp_type_restruct_id,bigint,Тип реструктуризации
corp_tech_application,59,interm_file_storage,bigint,Промежуточное хранение файла для загрузки
corp_tech_application,60,suz_start_page_str,character varying,Ссылка на стартовую страницу СУЗ
corp_tech_application,61,is_legal_exp_launched,smallint,Запущена экспертиза правоспособности (тех.)
corp_tech_application,62,is_legal_exp_restart,smallint,Перезапуск экспертизы правоспособности (тех.)
corp_tech_application,63,scp_cheif_cm_id,bigint,Руководитель КМ
corp_tech_application,64,collat_initiator_id,bigint,Ответственный за проведение экспертизы залогов
corp_tech_application,65,is_return_awp,smallint,Будет направлено АРМ
corp_tech_application,66,iniciator_emp_id,bigint,Ответственный за проведение экспертизы правоспособности
corp_tech_application,67,scp_rejection_client_id,bigint,Причина отказа Клиента
corp_tech_application,68,is_app_to_cred_depart,smallint,Заявка передана в КП (тех.)
corp_tech_application,69,scp_rejection_comment,text,Комментарий по отказу
corp_tech_application,70,reason_refusal_id,bigint,Причина отказа Банка
corp_tech_application,71,cred_depart_opinion_txt,text,Мнение кредитного подразделения
corp_tech_application,72,is_start_bp_fa,smallint,Запуск БП из ФА (тех.)
corp_tech_application,73,is_start_bp_request_fa,smallint,Запуск БП из доп. запроса ФА(тех.)
corp_tech_application,74,is_simplified_fa,smallint,Упрощенный Финансовый анализ
corp_tech_application,75,is_tech_ham_task_comp,smallint,Задача рук. КМ завершена (тех.)
corp_tech_application,76,is_auto_sec_errors,smallint,Наличие ошибок (автосэб)
corp_tech_application,77,pricing_id,bigint,Ценообразование
corp_tech_application,78,calc_risk_date,timestamp without time zone,Дата предварительной зоны риска
corp_tech_application,79,collateral_cont_id,bigint,Контейнер с обеспечением
corp_tech_application,80,resp_cond_coord,bigint,Голосующий (индивидуальные условия)
corp_tech_application,81,is_fin_activ_newsub,smallint,Финансирование деятельности в НС
corp_tech_application,82,prelim_gsl_calc_id,bigint,Ссылка на предварительный расчет
corp_tech_application,83,exp_fa_office_id,bigint,Офис Экспертизы ФА
corp_tech_application,84,scp_conclusion_comment,character varying,Вывод с комментарием для визуала заявки
count_turnover,1,id,bigint,Код
count_turnover,2,link_cnt_owner,bigint,Владелец
count_turnover,3,double_turn_balance,smallint,Дубликат
count_turnover,4,finish_period,timestamp without time zone,Конец периода
count_turnover,5,count_months,bigint,Количество месяцев в периоде
count_turnover,6,name,character varying,Наименование
count_turnover,7,name__ru,character varying,"Наименование, languageSchema=ru"
count_turnover,8,name__en,character varying,"Наименование, languageSchema=en"
count_turnover,9,st_period,timestamp without time zone,Начало периода
count_turnover,10,account_num_id,bigint,Номер счета
count_turnover,11,account_source,character varying,Номер счета_источник
count_turnover,12,turnover_debit,numeric,Оборот по Дебету
count_turnover,13,turnover_credit,numeric,Оборот по Кредиту
count_turnover,14,is_check,smallint,Обработан
count_turnover,15,period_st_end,character varying,Период
count_turnover,16,parent_link_count,bigint,Родительский номер счета
count_turnover,17,output_balance_debit,numeric,Сальдо на конец периода (Дебет)
count_turnover,18,output_balance_credit,numeric,Сальдо на конец периода (Кредит)
count_turnover,19,input_balance_debit,numeric,Сальдо на начало периода (Дебет)
count_turnover,20,input_balace_credit,numeric,Сальдо на начало периода (Кредит)
count_turnover,21,link_cred_doc_tur,bigint,Ссылка на КЗ
count_turnover,22,link_load_val_id,bigint,Ссылка на контейнер загрузки
count_turnover,23,link_partic_gr,bigint,Ссылка на участника КЗ
count_turnover,24,is_del,smallint,Удален
count_turnover,25,correct_type,bigint,Тип ОСВ
count_turnover,26,tech_manual_vat,smallint,Технический признак ручного НДС
count_turnover,27,vat,numeric,НДС
count_turnover,28,bb_debet_id,bigint,Статья (дебет)
count_turnover,29,bb_cred_id,bigint,Статья (кредит)
count_turnover,30,bb_debet_reclass_id,bigint,Статья (дебет) - рекласс
count_turnover,31,bb_cred_reclass_id,bigint,Статья (кредит) - рекласс
count_turnover,32,out_bal_recl_debt,numeric,Сальдо на конец периода с учетом реклассификации (Дебет)
count_turnover,33,out_bal_recl_cred,numeric,Сальдо на конец периода с учетом реклассификации (Кредит)
count_turnover,34,bb_debet_input_id,bigint,"Статья (дебет, сальдо на начало)"
count_turnover,35,bb_cred_input_id,bigint,"Статья (кредит, сальдо на начало)"
credit_contract,1,id,bigint,ID
credit_contract,2,name__ru,character varying,"Name, languageSchema=ru"
credit_contract,3,name__en,character varying,"Name, languageSchema=en"
credit_contract,4,name,character varying,Name
credit_contract,5,create_date,timestamp without time zone,Create date
credit_contract,6,type_id,bigint,Тип объекта
credit_contract,7,status,smallint,Status
credit_contract,8,org_id,bigint,Подразделение
credit_contract,9,user_id,bigint,Пользователь
credit_contract,10,last_modified_date,timestamp without time zone,Last modified date
credit_contract,11,last_modified_user_id,bigint,"Пользователь, внесший последние изменения"
credit_contract,12,created_emp_id,bigint,"Сотрудник, создавший объект"
credit_contract,13,last_modified_emp_id,bigint,"Сотрудник, внесший последние изменения"
credit_contract,14,is_system,smallint,System object
credit_contract,15,afl_doc_num,character varying,Номер документа
credit_contract,16,afl_doc_data,timestamp without time zone,Дата документа
credit_contract,17,afp_state_id,bigint,Состояние
credit_contract,18,credit_contract_number,character varying,Номер кредитного договора
credit_contract,19,loan_term,bigint,Срок кредитования (мес.)
credit_contract,20,credit_amount,numeric,Сумма кредита/лимита линии по договору (руб.)
credit_contract,21,special_purpose,character varying,Целевое назначение кредита по договору
credit_contract,22,quality_categor,character varying,Категория качества по ссуде/ Название ПОС
credit_contract,23,financial_position,character varying,"Финансовое положение (Хорошее, Среднее, Плохое)"
credit_contract,24,reserve_size,numeric,Размер резерва (%)
credit_contract,25,link_customer_id,bigint,Ссылка на клиента
credit_contract,26,aplication_id,bigint,Ссылка на микро заявку
credit_contract,27,cred_interest_rate,numeric,Процентная ставка (%)
credit_contract,28,sel_curr,bigint,Валюта
credit_contract,29,credit_start_date,timestamp without time zone,Дата начало кредитования
credit_contract,30,credit_end_date,timestamp without time zone,Дата окончания кредитования
credit_contract,31,check_account,character varying,Расчетный счет
credit_contract,32,days_delay_number,character varying,Количество дней прострочки
credit_contract,33,loan_classified,character varying,Классифайд кредитного договора
credit_contract,34,contract_group,character varying,Контрактная группа
credit_contract,35,date_loan_debt,numeric,Остаток ссудной задолженности на дату отчета
credit_contract,36,prof_judg_id,bigint,Ссылка на индивид. профсуждение
credit_contract,37,contract_type,character varying,Вид договора
credit_contract,38,credit_product,character varying,Кредитный продукт
credit_contract,39,applic_ko_kbkp_id,bigint,Ссылка на микрозаявку КО/КБКП
credit_contract,40,is_closed,smallint,Договор закрыт
credit_contract,41,pledge_contract_id,bigint,Ссылка на договор залога
credit_contract,42,wf_document_id,bigint,Связь с объектами из ДО. Документ
credit_contract,43,cr_status_id,bigint,Статус договора
credit_contract,44,is_guarantee,smallint,Наличие поручительства
credit_contract,45,lname,character varying,Фамилия сотрудника
credit_contract,46,fname,character varying,Отчество cотрудника
credit_contract,47,mname,character varying,Имя cотрудника
credit_contract,48,tabnum,character varying,Табельный номер сотрудника
credit_contract,49,sys_employee_id,bigint,Сотрудник
credit_contract,50,subsidy_prog_id,bigint,Программа субсидирования
credit_contract,51,individ_guarantee,smallint,Поручительство других лиц из онлайн заявки
credit_contract,52,offer_ident,character varying,Идентификатор предложения в Цифровом профиле
credit_contract,53,number_kk,character varying,Номер протокола КК
credit_contract,54,protocol_date,character varying,Дата принятия решения уполномоченным органом
credit_contract,55,subsidy_prog_str,character varying,Программа субсидирования (Строка)
credit_contract,56,bank_ident_number,character varying,БИК
credit_contract,57,tech_link_etl_susp_id,bigint,Приостановление(тех.)Ссылка на etl приостановление/восстановление КД в НА
credit_contract,58,suspension_na_id,bigint,Состояние приостановления в НА
credit_contract,59,tech_link_etl_state_id,bigint,Приостановление(тех.)Ссылка на etl по получению состояния статуса приостановления
credit_contract,60,appl_documentum_num,character varying,Номер заявки в Documentum
credit_contract,61,supplement_tech,bigint,Дополнительное соглашение(Тех.)
credit_contract,62,contracttype,bigint,_Вид договора
credit_contract,63,tech_selected_rz_id,bigint,Приостановление(тех.) выбранная зона
credit_contract,64,tech_selected_comm,character varying,Приостановление(Тех.) Комментарий
credit_contract,65,tech_selected_meas_id,bigint,Приостановление(тех.)Выбранная мера
credit_contract,66,yaig_base_code,bigint,Код базы НА
credit_contract,67,hand_suspension,smallint,Ручная(мера)
credit_contract,68,duration_over_on_date,bigint,Общая длительность просрочки на текущую дату
credit_contract,69,close_contract,character varying,Наличие закрытых договоров
credit_contract,70,fa_specialist,character varying,ФИО специалиста проводившего ФА
credit_contract,71,uid_credit,character varying,UID Кредитного договора
credit_contract,72,max_loan_amount_ever,numeric,Сумма полного лимита
credit_contract,73,exite_date,timestamp without time zone,Дата выхода из программы субсидирования
credit_contract,74,penalty_rate,numeric,%% ставка после выхода из программы субсидирования.
credit_contract,75,is_tranche_exist,smallint,Были транши
credit_contract,76,pers_emp_number,character varying,Табельный номер сотрудника
dict_div_presence,1,id,bigint,ID
dict_div_presence,2,name__ru,character varying,"Name, languageSchema=ru"
dict_div_presence,3,name,character varying,Name
dict_div_presence,4,create_date,timestamp without time zone,Create date
dict_div_presence,5,type_id,bigint,Тип объекта
dict_div_presence,6,status,smallint,Status
dict_div_presence,7,org_id,bigint,Подразделение
dict_div_presence,8,user_id,bigint,Пользователь
dict_div_presence,9,last_modified_date,timestamp without time zone,Last modified date
dict_div_presence,10,last_modified_user_id,bigint,"Пользователь, внесший последние изменения"
dict_div_presence,11,created_emp_id,bigint,"Сотрудник, создавший объект"
dict_div_presence,12,last_modified_emp_id,bigint,"Сотрудник, внесший последние изменения"
dict_div_presence,13,is_system,smallint,System object
dict_div_presence,14,ord,bigint,Порядок
dict_div_presence,15,nameregion,character varying,Наименование региона
dict_div_presence,16,coderegion,character varying,Код региона
dict_div_presence,17,div_presence,smallint,Признак присутствия Банка
dict_div_presence,18,stop_region,smallint,Стоп-регион для кредитования (ББКП)
dict_div_presence,19,stop_region_ko,smallint,Стоп-регион для кредитования (КО)
dict_div_presence,20,stop_region_fact,smallint,Стоп-регион для кредитования (Факторинг)
dict_div_presence,21,name__en,character varying,"Name, languageSchema=en"
dict_product,1,id,bigint,ID
dict_product,2,name__ru,character varying,"Name, languageSchema=ru"
dict_product,3,name__en,character varying,"Name, languageSchema=en"
dict_product,4,name,character varying,Name
dict_product,5,create_date,timestamp without time zone,Create date
dict_product,6,type_id,bigint,Тип объекта
dict_product,7,status,smallint,Status
dict_product,8,org_id,bigint,Подразделение
dict_product,9,user_id,bigint,Пользователь
dict_product,10,last_modified_date,timestamp without time zone,Last modified date
dict_product,11,last_modified_user_id,bigint,"Пользователь, внесший последние изменения"
dict_product,12,created_emp_id,bigint,"Сотрудник, создавший объект"
dict_product,13,last_modified_emp_id,bigint,"Сотрудник, внесший последние изменения"
dict_product,14,is_system,smallint,System object
dict_product,15,collateral_id,bigint,Необходимость обеспечения
dict_product,16,guarantee_id,bigint,Необходимость поручительства
dict_product,17,departure_id,bigint,Выезд на место бизнеса заемщика
dict_product,18,attr_business_segment,bigint,Сегмент бизнеса клиента
dict_product,19,interest_penalties_id,bigint,"Возможность включения %, пеней и комиссий в погашаемую сумму"
dict_product,20,lending_type_id,bigint,Гос контракт. Вид кредитования
dict_product,21,volume_revenue_id,bigint,Минимальный объем эквайринговой выручки
dict_product,22,number_transactions_id,bigint,Минимальное количество транзакций по картам
dict_product,23,amount_tender_loan_id,bigint,Максимальная сумма тендерного кредита
dict_product,24,payment_method_id,bigint,"Наличие расчетного счета в ""Открытие"""
dict_product,25,overdraft_limit_id,bigint,Требование к лимиту овердрафта
dict_product,26,max_amount_id,bigint,Ограничение максимального лимита
dict_product,27,payment_interest_id,bigint,Порядок уплаты процентов
dict_product,28,possibility_delay,smallint,Возможность отсрочки по кредиту
dict_product,29,payment_account,smallint,"Необходимость наличия расчетного счета в ПАО Банк ""ФК Открытие"""
dict_product,30,early_rep_pos,smallint,Возможность досрочного погашения
dict_product,31,necessity_insurance,smallint,Требуется страхование
dict_product,32,payment_commission_id,bigint,Срок уплаты комиссии
dict_product,33,installment_payment,smallint,Допускается рассрочка платежа
dict_product,34,rate_increase_1,smallint,Предусматривается повышение ставки
dict_product,35,id_855918,smallint,Требуется обеспечение
dict_product,36,guarantee_1,smallint,Требуется поручительство
dict_product,37,min_sum,numeric,Минимальная сумма
dict_product,38,type_of_guarantee_id,bigint,Вид гарантии
dict_product,39,product_relevance,smallint,Актуальность продукта
dict_product,40,comissions_id,bigint,Комиссии
dict_product,41,ident,character varying,Сист. Идентификатор
dict_product,42,valid_decision,bigint,Срок действия положительного решения (день)
dict_product,43,indefinite_period,smallint,Возможна выдача на неопределенный срок
dict_product,44,form_issue_id,bigint,Форма выдачи
dict_product,45,part_big_buyer,numeric,Доля крупнейшего покупателя
dict_product,46,num_months_cashbox,numeric,Количество месяцев ведения онлайн касс
dict_product,47,num_months_income,numeric,Количество месяцев по поступлениям на счет в ПСБ и (или) другие банки
dict_product,48,count_income_month,numeric,Количество поступлений на счет Клиента в каждом месяце
dict_product,49,limit_over,numeric,Лимит овердрафта
dict_product,50,summ_tranche,numeric,Сумма транша
dict_product,51,summ_limit,numeric,Сумма лимита
dict_product,52,term_limit_credit,bigint,Период выборки лимита кредитной линии
dict_product,53,max_sum_credit,numeric,Максимальная сумма кредитного продукта
dict_product,54,min_sum_credit,numeric,Минимальная сумма кредитного продукта
dict_product,55,forfeight_id,bigint,Неустойки
dict_product,56,transfert_rate,numeric,Ставка трансферта
dict_product,57,debt_on_tranche,bigint,Срок задолженности по одному траншу
dict_product,58,type_limit_over_id,bigint,Тип лимита овердрафта
dict_product,59,tech_decision_id,bigint,Технология принятия решения
dict_product,60,credit_interest_rate,numeric,Процентная ставка
dict_product,61,dynam_type_id,bigint,Тип динамики
dict_product,62,form_limit,character varying,Форма лимита
dict_product,63,loan_terms,bigint,Срок лимита
dict_product,64,issue_limit_second,character varying,Срок транша 2
dict_product,65,issue_limit_first,character varying,Срок транша 1
dict_product,66,is_early_repay,smallint,Возможно досрочное погашение(ЦКП)
dict_product,67,max_loan_term,numeric,Максимальный срок кредита (мес)
dict_product,68,period_grace,character varying,Грейс
dict_product,69,card_validity,character varying,Срок действия карты
dict_product,70,lp_product_code,character varying,Код продукта в LP
dict_product,71,dbo_product_code,character varying,Код продукта в ДБО
dict_product,72,cp_product_code,character varying,Код продукта в ЦП
dict_product,73,limit_term,character varying,Срок договора
dict_product,74,finstar_product_code,character varying,Код продукта в Финстар
dict_product,75,factoring_product_code,character varying,Код продукта факторинга
dict_product,76,is_simplified_fa,smallint,Упрощенный Финансовый анализ
dict_product,77,is_package,smallint,Пакетный продукт
dict_product,78,name_contr_group,character varying,Наименование контрактной группы
dict_product,79,is_insurance_available,smallint,Доступно страхование
dict_product,80,is_amd_fill_mandatory,smallint,Обязательное заполнение размера резерва и категории качества в РУМ
dict_product,81,is_new_prod_for_ns,smallint,Новый продукт для НС
dict_product,82,is_fin_activ_newsub,smallint,Финансирование деятельности в НС
employees,1,id,integer,
employees,2,name,character varying,
fs_file,1,id,bigint,"Код, SysTypeAttrEffective{} AbstractAttrEffective{id=101002, ident='ID'}"
fs_file,2,name,character varying,Name
fs_file,3,type_id,bigint,Тип объекта
fs_file,4,org_id,bigint,Подразделение
fs_file,5,status,smallint,Status
fs_file,6,create_date,timestamp without time zone,Create date
fs_file,7,user_id,bigint,Пользователь
fs_file,8,ff_type_id,bigint,Тип файла
fs_file,9,ff_storage_id,bigint,Хранилище
fs_file,10,ff_inner_name,character varying,Внутреннее имя файла
fs_file,11,ff_body_size,bigint,Размер файла
fs_file,12,ff_kind_id,bigint,Классификация
fs_file,13,ff_note,character varying,Описание
fs_file,14,ff_actual_end_date,timestamp without time zone,Срок актуальности
fs_file,15,name__en,character varying,"Name, languageSchema=en"
fs_file,16,name__ru,character varying,"Name, languageSchema=ru"
fs_file,17,created_emp_id,bigint,"Сотрудник, создавший объект"
fs_file,18,last_modified_user_id,bigint,"Пользователь, внесший последние изменения"
fs_file,19,last_modified_emp_id,bigint,"Сотрудник, внесший последние изменения"
fs_file,20,last_modified_date,timestamp without time zone,Last modified date
fs_file,21,is_system,smallint,System object
fs_file,22,ff_parent_object,bigint,Ссылка на родительский объект
fs_file,23,ff_is_stored,smallint,Файл сохранен в хранилище
fs_file,24,ff_id_881754,timestamp without time zone,Дата размещения документа
fs_file,25,ff_id_881762,character varying,Родительская классификация
fs_file,26,ff_id_881752,timestamp without time zone,Дата документа
fs_file,27,ff_fs_is_preview_file,smallint,Открыть на предпросмотр Edoc
fs_file,28,ff_fs_file_name,character varying,Наименование без расширения
fs_file,29,ff_fv_date_from,timestamp without time zone,Дата начала действия
fs_file,30,ff_fv_date_to,timestamp without time zone,Дата окончания действия
